Ano;Mes;Dia;Hora;Min;Carga
2014;2;5;1;0;42676
2014;2;5;2;0;40587,4
2014;2;5;3;0;39113,7
2014;2;5;4;0;38526,1
2014;2;5;5;0;38247,9
2014;2;5;6;0;38991
2014;2;5;7;0;41058,5
2014;2;5;8;0;42130,6
2014;2;5;9;0;45801
2014;2;5;10;0;48158,9
2014;2;5;11;0;49572,9
2014;2;5;12;0;49582,8
2014;2;5;13;0;48840,4
2014;2;5;14;0;49991,3
2014;2;5;15;0;50796,7
2014;2;5;16;0;50981,9
2014;2;5;17;0;50460,2
2014;2;5;18;0;47612,3
2014;2;5;19;0;43910,8
2014;2;5;20;0;42695,2
2014;2;5;21;0;46835,5
2014;2;5;22;0;48248,8
2014;2;5;23;0;48475,3
2014;2;6;0;0;46247,6
2014;2;6;1;0;42994,7
2014;2;6;2;0;40568
2014;2;6;3;0;39111,5
2014;2;6;4;0;38348,6
2014;2;6;5;0;38071,7
2014;2;6;6;0;38954,9
2014;2;6;7;0;40903,3
2014;2;6;8;0;42001,9
2014;2;6;9;0;45540,2
2014;2;6;10;0;47859,8
2014;2;6;11;0;49245,3
2014;2;6;12;0;49341,6
2014;2;6;13;0;48672,4
